IUFT QC gate encodings (8682 entries):
                    metabolomics: θ=   0.0°  φ= 180.0°  ψ=  90.0°
                      proteomics: θ=  90.0°  φ=  80.0°  ψ=  90.0°
                        ascocarp: θ=  20.0°  φ=  40.0°  ψ=  90.0°
                        genomics: θ=  40.0°  φ= 140.0°  ψ=  90.0°
                       ascospore: θ=  70.0°  φ=  40.0°  ψ= 270.0°
            comparative_genomics: θ=  40.0°  φ=  80.0°  ψ=  90.0°
                     basidiocarp: θ=  50.0°  φ=  40.0°  ψ= 270.0°
                        ortholog: θ=  40.0°  φ=   0.0°  ψ= 270.0°
                    basidiospore: θ=  70.0°  φ= 230.0°  ψ=  90.0°
                         paralog: θ=   0.0°  φ=   0.0°  ψ=  90.0°
                        conidium: θ=  40.0°  φ=  40.0°  ψ=  90.0°
               phylogenetic_tree: θ=   0.0°  φ=  40.0°  ψ= 270.0°
                        dikaryon: θ=  40.0°  φ= 180.0°  ψ=  90.0°
                           clade: θ=  60.0°  φ=  40.0°  ψ=  90.0°
                      haustorium: θ=  40.0°  φ= 150.0°  ψ= 270.0°
                    monophyletic: θ=  60.0°  φ= 150.0°  ψ=  90.0°
                           hypha: θ=  40.0°  φ= 150.0°  ψ=  90.0°
                    polyphyletic: θ=  60.0°  φ=  80.0°  ψ=  90.0°
                        mycelium: θ=  20.0°  φ=  40.0°  ψ=  90.0°
                    paraphyletic: θ= 120.0°  φ=  70.0°  ψ= 270.0°
                      mycorrhiza: θ=  20.0°  φ= 140.0°  ψ=  90.0°
                    synapomorphy: θ=  60.0°  φ= 150.0°  ψ=  90.0°
                          pileus: θ=  20.0°  φ=   0.0°  ψ=  90.0°
                       homoplasy: θ=  40.0°  φ=  40.0°  ψ=  90.0°
            convergent_evolution: θ= 120.0°  φ= 170.0°  ψ=  90.0°
                           stipe: θ=  40.0°  φ=   0.0°  ψ=  90.0°
                     coevolution: θ=   0.0°  φ= 140.0°  ψ=  90.0°
                           spore: θ=  40.0°  φ=   0.0°  ψ= 270.0°
                host_specificity: θ=  40.0°  φ= 110.0°  ψ=  90.0°
                   pathogenicity: θ=  60.0°  φ=  80.0°  ψ=  90.0°
                          septum: θ=  60.0°  φ= 120.0°  ψ=  90.0°
                   chlamydospore: θ=  40.0°  φ=  40.0°  ψ= 270.0°
                       virulence: θ=  40.0°  φ=   0.0°  ψ=  90.0°
                  sporangiophore: θ=  20.0°  φ= 110.0°  ψ=  90.0°
                     infectivity: θ=  20.0°  φ= 150.0°  ψ=  90.0°
                      sporangium: θ=  20.0°  φ=  40.0°  ψ= 270.0°
               incubation_period: θ=   0.0°  φ=  80.0°  ψ= 270.0°
                          lesion: θ=  40.0°  φ=  80.0°  ψ=  90.0°
                        zoospore: θ=  40.0°  φ=  40.0°  ψ= 270.0°
                     damping_off: θ=  80.0°  φ=  70.0°  ψ=  90.0°
                      teleomorph: θ=  20.0°  φ=  40.0°  ψ=  90.0°
                        root_rot: θ=  80.0°  φ=  40.0°  ψ=  90.0°
                        anamorph: θ=  40.0°  φ= 120.0°  ψ=  90.0°
                        stem_rot: θ=  20.0°  φ=  40.0°  ψ= 270.0°
                    pleomorphism: θ=   0.0°  φ=  80.0°  ψ=  90.0°
                  key_of_solomon: θ= 120.0°  φ= 260.0°  ψ= 270.0°
                            wilt: θ=   0.0°  φ=   0.0°  ψ= 270.0°
  three_books_of_occult_philosophy: θ= 100.0°  φ= 220.0°  ψ= 270.0°
                      dimorphism: θ=  60.0°  φ=  80.0°  ψ=  90.0°
  sixth_and_seventh_books_of_moses: θ=  80.0°  φ=   0.0°  ψ= 270.0°
                    black_pullet: θ=  80.0°  φ=  40.0°  ψ= 270.0°
  dogme_et_rituel_de_la_haute_magie: θ= 100.0°  φ= 260.0°  ψ= 270.0°
                       galdrabok: θ=  80.0°  φ=   0.0°  ψ= 270.0°
       grimoire_of_pope_honorius: θ=  20.0°  φ=   0.0°  ψ= 270.0°
        pseudomonarchia_daemonum: θ=  80.0°  φ=   0.0°  ψ= 270.0°
                          blight: θ=  20.0°  φ=  40.0°  ψ=  90.0°
                    grand_albert: θ=  80.0°  φ=   0.0°  ψ= 270.0°
                    petit_albert: θ=  20.0°  φ=   0.0°  ψ= 270.0°
           book_of_saint_cyprian: θ= 100.0°  φ= 260.0°  ψ= 270.0°
                         saprobe: θ=  40.0°  φ=  40.0°  ψ= 270.0°
    aradia_gospel_of_the_witches: θ= 100.0°  φ= 260.0°  ψ= 270.0°
                            spot: θ=  40.0°  φ=   0.0°  ψ=  90.0°
                        parasite: θ=  60.0°  φ= 110.0°  ψ=  90.0°
                        symbiont: θ= 120.0°  φ= 140.0°  ψ=  90.0°
                            scab: θ=  40.0°  φ=  40.0°  ψ=  90.0°
                          lichen: θ=  20.0°  φ=  40.0°  ψ= 270.0°
                          canker: θ=  20.0°  φ=  40.0°  ψ= 270.0°
                   fruiting_body: θ=  50.0°  φ=  70.0°  ψ=  90.0°
                        gummosis: θ=  40.0°  φ=  40.0°  ψ=  90.0°
                           gleba: θ=  20.0°  φ=   0.0°  ψ=  90.0°
                         dieback: θ=  40.0°  φ=  40.0°  ψ= 270.0°
                        peridium: θ=  60.0°  φ=  80.0°  ψ=  90.0°
                     mummy_berry: θ=   0.0°  φ=  40.0°  ψ=  90.0°
                        hymenium: θ=  60.0°  φ=  30.0°  ψ=  90.0°
                      sooty_mold: θ=  50.0°  φ=   0.0°  ψ= 270.0°
                        basidium: θ=  70.0°  φ=   0.0°  ψ=  90.0°
                       white_rot: θ=  20.0°  φ=  40.0°  ψ=  90.0°
                           ascus: θ=  90.0°  φ=  40.0°  ψ=  90.0°
                       brown_rot: θ=  20.0°  φ=  40.0°  ψ= 270.0°
                        sterigma: θ=  40.0°  φ=   0.0°  ψ= 270.0°
                        soft_rot: θ=  20.0°  φ= 120.0°  ψ=  90.0°
                         dry_rot: θ=  20.0°  φ=  40.0°  ψ=  90.0°
                      paraphysis: θ=  20.0°  φ=   0.0°  ψ=  90.0°
                         wet_rot: θ=  20.0°  φ=  40.0°  ψ= 270.0°
                       cystidium: θ=  40.0°  φ=   0.0°  ψ=  90.0°
                       heart_rot: θ=  80.0°  φ= 200.0°  ψ= 270.0°
                clamp_connection: θ=  40.0°  φ= 260.0°  ψ=  90.0°
                 dolipore_septum: θ=  40.0°  φ= 170.0°  ψ= 270.0°
                        butt_rot: θ=  40.0°  φ=  40.0°  ψ=  90.0°
            asexual_reproduction: θ=  60.0°  φ= 120.0°  ψ= 270.0°
                      root_decay: θ=  20.0°  φ= 160.0°  ψ=  90.0°
             sexual_reproduction: θ=   0.0°  φ=  70.0°  ψ=  90.0°
                      wood_decay: θ=  80.0°  φ=  70.0°  ψ= 270.0°
              lignin_degradation: θ=  80.0°  φ=  80.0°  ψ= 270.0°
                     germination: θ=  40.0°  φ=  40.0°  ψ=  90.0°
           cellulose_degradation: θ=   0.0°  φ= 150.0°  ψ= 270.0°
                       germ_tube: θ=  80.0°  φ=  70.0°  ψ= 270.0°
       hemicellulose_degradation: θ=  80.0°  φ= 150.0°  ψ= 270.0°
              pectin_degradation: θ= 100.0°  φ= 150.0°  ψ= 270.0°
                          oidium: θ=  40.0°  φ=   0.0°  ψ=  90.0°
                bleaching_effect: θ=  20.0°  φ=  40.0°  ψ=  90.0°
                     arthrospore: θ=   0.0°  φ=  40.0°  ψ=  90.0°
       selective_delignification: θ=  80.0°  φ= 150.0°  ψ=  90.0°
                     blastospore: θ=  40.0°  φ=  30.0°  ψ= 270.0°
              simultaneous_decay: θ=  20.0°  φ=  80.0°  ψ=  90.0°
                         rhizoid: θ=  20.0°  φ= 120.0°  ψ=  90.0°
                cavity_formation: θ= 120.0°  φ=  70.0°  ψ=  90.0°
               fungal_succession: θ=  60.0°  φ= 150.0°  ψ= 270.0°
                    appressorium: θ=  40.0°  φ= 270.0°  ψ=  90.0°
             microbial_community: θ=  80.0°  φ=  60.0°  ψ=  90.0°
                      sclerotium: θ=  50.0°  φ=  40.0°  ψ= 270.0°
                     fungistasis: θ=  40.0°  φ=  80.0°  ψ= 270.0°
                          stroma: θ=  20.0°  φ=  80.0°  ψ= 270.0°
                       endophyte: θ=  20.0°  φ=   0.0°  ψ=  90.0°
         common_mycelial_network: θ=  20.0°  φ= 100.0°  ψ=  90.0°
                  ectomycorrhiza: θ=  20.0°  φ= 260.0°  ψ=  90.0°
          nutrient_translocation: θ=  80.0°  φ=  70.0°  ψ=  90.0°
           arbuscular_mycorrhiza: θ=  50.0°  φ= 100.0°  ψ=  90.0°
                  carbon_cycling: θ=   0.0°  φ=  40.0°  ψ= 270.0°
                nitrogen_cycling: θ=  60.0°  φ= 100.0°  ψ= 270.0°
                        mushroom: θ=  50.0°  φ=   0.0°  ψ= 270.0°
         phosphorus_mobilization: θ=   0.0°  φ= 140.0°  ψ=  90.0°
                      decomposer: θ=  20.0°  φ= 180.0°  ψ=  90.0°
                       toadstool: θ=  40.0°  φ=   0.0°  ψ=  90.0°
                        recycler: θ=   0.0°  φ=  40.0°  ψ=  90.0°
                  bracket_fungus: θ=  20.0°  φ=  80.0°  ψ= 270.0°
                       mutualist: θ=   0.0°  φ= 140.0°  ψ=  90.0°
                            rust: θ=  60.0°  φ=  70.0°  ψ= 270.0°
                       commensal: θ=  80.0°  φ=  30.0°  ψ=  90.0°
                      antagonist: θ= 100.0°  φ=  30.0°  ψ= 270.0°
                            smut: θ=  40.0°  φ=   0.0°  ψ=  90.0°
                       synergist: θ=  20.0°  φ= 220.0°  ψ=  90.0°
                      spore_bank: θ=  20.0°  φ=  80.0°  ψ=  90.0°
                           yeast: θ=   0.0°  φ=  80.0°  ψ=  90.0°
                   soil_inoculum: θ= 100.0°  φ= 150.0°  ψ=  90.0°
                            mold: θ=  60.0°  φ= 200.0°  ψ=  90.0°
                disease_triangle: θ=  90.0°  φ=  80.0°  ψ=  90.0°
                    epidemiology: θ=  60.0°  φ= 150.0°  ψ=  90.0°
                          mildew: θ=  20.0°  φ=   0.0°  ψ= 270.0°
                   disease_cycle: θ= 100.0°  φ=  80.0°  ψ=  90.0°
                       mycophagy: θ=  80.0°  φ=  30.0°  ψ= 270.0°
              inoculum_threshold: θ=  40.0°  φ= 200.0°  ψ=  90.0°
                       mycotoxin: θ=  40.0°  φ= 120.0°  ψ= 270.0°
                       dispersal: θ=  80.0°  φ=  70.0°  ψ=  90.0°
                 windborne_spore: θ=  20.0°  φ=   0.0°  ψ=  90.0°
                       aflatoxin: θ= 100.0°  φ= 150.0°  ψ= 270.0°
                waterborne_spore: θ=  20.0°  φ=  40.0°  ψ= 270.0°
                           ergot: θ=  40.0°  φ=  80.0°  ψ= 270.0°
                   insect_vector: θ= 100.0°  φ=  70.0°  ψ=  90.0°
                      fairy_ring: θ=  90.0°  φ=   0.0°  ψ=  90.0°
                        zoochory: θ=  20.0°  φ=  60.0°  ψ=  90.0°
                     spore_print: θ=  60.0°  φ=   0.0°  ψ=  90.0°
                      anemochory: θ=  20.0°  φ=   0.0°  ψ= 270.0°
                       karyogamy: θ=  60.0°  φ= 100.0°  ψ=  90.0°
                      hydrochory: θ=  20.0°  φ=  30.0°  ψ=  90.0°
                      plasmogamy: θ=  20.0°  φ=  80.0°  ψ=  90.0°
                       autochory: θ=  40.0°  φ= 230.0°  ψ=  90.0°
              survival_structure: θ=   0.0°  φ=   0.0°  ψ=  90.0°
                   resting_spore: θ=  40.0°  φ=  40.0°  ψ= 270.0°
              survival_propagule: θ=  60.0°  φ= 120.0°  ψ=  90.0°
  competitive_saprotrophic_ability: θ=  80.0°  φ= 150.0°  ψ=  90.0°
                  aggressiveness: θ=  40.0°  φ= 150.0°  ψ=  90.0°
                       tolerance: θ=  20.0°  φ= 100.0°  ψ=  90.0°
                    heterokaryon: θ=  60.0°  φ= 150.0°  ψ= 270.0°
                      resistance: θ=  40.0°  φ=  40.0°  ψ= 270.0°
     induced_systemic_resistance: θ= 100.0°  φ= 110.0°  ψ=  90.0°
                      homokaryon: θ=  20.0°  φ= 130.0°  ψ= 270.0°
    systemic_acquired_resistance: θ=  50.0°  φ= 110.0°  ψ=  90.0°
  mycorrhizal_induced_resistance: θ=  20.0°  φ= 110.0°  ψ= 270.0°
                      monokaryon: θ=  40.0°  φ=  70.0°  ψ= 270.0°
                  quorum_sensing: θ=  20.0°  φ= 100.0°  ψ=  90.0°
                         nucleus: θ=  40.0°  φ=  60.0°  ψ=  90.0°
                         biofilm: θ=  80.0°  φ= 150.0°  ψ=  90.0°
  extracellular_polymeric_substance: θ=  80.0°  φ= 140.0°  ψ= 270.0°
                         vacuole: θ=  60.0°  φ=  70.0°  ψ= 270.0°
         hydrophilic_interaction: θ=  50.0°  φ= 100.0°  ψ=  90.0°
         hydrophobic_interaction: θ=  50.0°  φ=   0.0°  ψ= 270.0°
                       cell_wall: θ=  50.0°  φ= 150.0°  ψ= 270.0°
                  spore_adhesion: θ= 100.0°  φ=  80.0°  ψ=  90.0°
                          chitin: θ=  20.0°  φ=  80.0°  ψ= 270.0°
                host_recognition: θ=  40.0°  φ=  80.0°  ψ=  90.0°
             signal_transduction: θ=  60.0°  φ= 150.0°  ψ=  90.0°
                          glucan: θ=  50.0°  φ= 140.0°  ψ= 270.0°
              map_kinase_cascade: θ=  60.0°  φ= 110.0°  ψ=  90.0°
               calcium_signaling: θ=  90.0°  φ= 140.0°  ψ=  90.0°
                          mannan: θ=  40.0°  φ=   0.0°  ψ= 270.0°
                     siderophore: θ=  20.0°  φ= 150.0°  ψ=  90.0°
                    camp_pathway: θ=  50.0°  φ= 110.0°  ψ=  90.0°
                      ph_sensing: θ=  40.0°  φ=  30.0°  ψ=  90.0°
                         melanin: θ=  20.0°  φ= 180.0°  ψ= 270.0°
                nutrient_sensing: θ=  70.0°  φ= 110.0°  ψ=  90.0°
                     hydrophobin: θ= 130.0°  φ= 150.0°  ψ= 270.0°
                  oxygen_sensing: θ=  40.0°  φ=  40.0°  ψ=  90.0°
                         laccase: θ=   0.0°  φ= 160.0°  ψ= 270.0°
    carbon_catabolite_repression: θ=  60.0°  φ= 100.0°  ψ= 270.0°
                      peroxidase: θ=   0.0°  φ= 220.0°  ψ= 270.0°
  nitrogen_metabolite_repression: θ=   0.0°  φ=   0.0°  ψ=  90.0°
                       cellulase: θ=  70.0°  φ= 160.0°  ψ=  90.0°
  secondary_metabolism_regulation: θ=  60.0°  φ= 110.0°  ψ= 270.0°
                        protease: θ=  40.0°  φ= 220.0°  ψ=  90.0°
                light_regulation: θ=   0.0°  φ= 110.0°  ψ=  90.0°
                          lipase: θ=  60.0°  φ= 190.0°  ψ= 270.0°
            temperature_response: θ=  20.0°  φ= 160.0°  ψ=  90.0°
                         amylase: θ=  40.0°  φ= 220.0°  ψ= 270.0°
         osmotic_stress_response: θ=  60.0°  φ=  70.0°  ψ= 270.0°
                        xylanase: θ=  40.0°  φ= 160.0°  ψ= 270.0°
       oxidative_stress_response: θ=   0.0°  φ=  80.0°  ψ=  90.0°
              heat_shock_protein: θ=  30.0°  φ=  80.0°  ψ=  90.0°
                       pectinase: θ=  40.0°  φ= 160.0°  ψ= 270.0°
                       chaperone: θ=  40.0°  φ=   0.0°  ψ=  90.0°
                        cutinase: θ=  40.0°  φ= 190.0°  ψ=  90.0°
                       autophagy: θ=  30.0°  φ= 180.0°  ψ=  90.0°
                       chitinase: θ=  40.0°  φ= 220.0°  ψ= 270.0°
       apoptosis_like_cell_death: θ=  90.0°  φ= 150.0°  ψ= 270.0°
                      ergosterol: θ=  80.0°  φ= 150.0°  ψ= 270.0°
           programmed_cell_death: θ=  70.0°  φ= 150.0°  ψ= 270.0°
                      lanosterol: θ=  20.0°  φ= 180.0°  ψ= 270.0°
                      senescence: θ=  60.0°  φ= 150.0°  ψ= 270.0°
                        glycogen: θ=  50.0°  φ= 150.0°  ψ=  90.0°
                       longevity: θ=   0.0°  φ= 110.0°  ψ=  90.0°
                       trehalose: θ=  40.0°  φ= 140.0°  ψ= 270.0°
                  aging_in_fungi: θ=  80.0°  φ= 150.0°  ψ= 270.0°
        cellular_differentiation: θ= 100.0°  φ= 150.0°  ψ= 270.0°
                          polyol: θ=  50.0°  φ= 140.0°  ψ= 270.0°
        morphogenetic_transition: θ=  20.0°  φ= 150.0°  ψ=  90.0°
                        glycerol: θ=  40.0°  φ=  60.0°  ψ= 270.0°
                dimorphic_switch: θ=  40.0°  φ=  70.0°  ψ=  90.0°
       yeast_to_hypha_transition: θ= 100.0°  φ= 110.0°  ψ=  90.0°
                        mannitol: θ=  20.0°  φ= 140.0°  ψ= 270.0°
       hypha_to_yeast_transition: θ=  60.0°  φ= 110.0°  ψ=  90.0°
                     mycosporine: θ=  80.0°  φ=  80.0°  ψ=  90.0°
                        germling: θ=  40.0°  φ= 150.0°  ψ=  90.0°
                mycelial_network: θ=  50.0°  φ= 150.0°  ψ=  90.0°
                       peptaibol: θ=  20.0°  φ= 150.0°  ψ= 270.0°
                     anastomosis: θ=  20.0°  φ= 180.0°  ψ=  90.0°
                      antibiosis: θ= 140.0°  φ= 150.0°  ψ= 270.0°
    heterokaryon_incompatibility: θ=  40.0°  φ= 120.0°  ψ= 270.0°
                  mycoparasitism: θ=  80.0°  φ=  70.0°  ψ=  90.0°
      vegetative_incompatibility: θ= 120.0°  φ= 120.0°  ψ= 270.0°
           competitive_exclusion: θ=  80.0°  φ= 150.0°  ψ= 270.0°
         somatic_incompatibility: θ=  60.0°  φ= 120.0°  ψ=  90.0°
                 mycelial_fusion: θ=  20.0°  φ= 100.0°  ψ=  90.0°
                     necrotrophy: θ= 100.0°  φ= 190.0°  ψ= 270.0°
                   recombination: θ=  40.0°  φ= 220.0°  ψ=  90.0°
                       biotrophy: θ=  20.0°  φ=  30.0°  ψ=  90.0°
                       gene_flow: θ=  20.0°  φ=  80.0°  ψ=  90.0°
                   hemibiotrophy: θ=   0.0°  φ=  40.0°  ψ=  90.0°
            facultative_parasite: θ=  60.0°  φ=  70.0°  ψ=  90.0°
               obligate_parasite: θ=  60.0°  φ= 150.0°  ψ=  90.0°
             population_genetics: θ=   0.0°  φ=  80.0°  ψ=  90.0°
                      saprotroph: θ=  20.0°  φ= 140.0°  ψ= 270.0°
                   mating_system: θ=  20.0°  φ=  80.0°  ψ= 270.0°
                     outcrossing: θ=  20.0°  φ= 190.0°  ψ= 270.0°
                      coprophile: θ=   0.0°  φ=  30.0°  ψ=  90.0°
                      inbreeding: θ=   0.0°  φ=  80.0°  ψ=  90.0°
                   keratinophile: θ=  20.0°  φ= 150.0°  ψ=  90.0°
                       clonality: θ=  30.0°  φ=   0.0°  ψ=  90.0°
                   genetic_drift: θ=  60.0°  φ=  40.0°  ψ= 270.0°
                      bottleneck: θ= 100.0°  φ= 160.0°  ψ=  90.0°
                     thermophile: θ=  20.0°  φ=   0.0°  ψ=  90.0°
                  founder_effect: θ=  60.0°  φ= 150.0°  ψ= 270.0°
              adaptive_evolution: θ=  60.0°  φ= 150.0°  ψ=  90.0°
                      acidophile: θ=  60.0°  φ=   0.0°  ψ=  90.0°
                 pathogenic_race: θ=   0.0°  φ= 110.0°  ψ=  90.0°
                       osmophile: θ=  60.0°  φ=   0.0°  ψ=  90.0°
                physiologic_race: θ=  60.0°  φ=  80.0°  ψ=  90.0°
                       xerophile: θ=  40.0°  φ=   0.0°  ψ=  90.0°
                 forma_specialis: θ=  80.0°  φ=  80.0°  ψ=  90.0°
                   halotolerance: θ=  40.0°  φ=  70.0°  ψ= 270.0°
                  spore_dormancy: θ=  60.0°  φ=  80.0°  ψ= 270.0°
                          strain: θ=  80.0°  φ=  80.0°  ψ=  90.0°
                spore_activation: θ= 100.0°  φ= 120.0°  ψ=  90.0°
                     sporulation: θ=  80.0°  φ= 150.0°  ψ= 270.0°
                         isolate: θ=  40.0°  φ=  80.0°  ψ= 270.0°
                   mycelial_cord: θ=  50.0°  φ= 150.0°  ψ=  90.0°
                      rhizomorph: θ=  50.0°  φ= 150.0°  ψ=  90.0°
                           clone: θ=  40.0°  φ= 140.0°  ψ=  90.0°
          sclerotial_germination: θ=  80.0°  φ=  70.0°  ψ=  90.0°
                       accession: θ= 100.0°  φ=   0.0°  ψ= 270.0°
                    conidiophore: θ=  20.0°  φ=  70.0°  ψ=  90.0°
                        holotype: θ=  40.0°  φ=  80.0°  ψ=  90.0°
                        phialide: θ=   0.0°  φ=  40.0°  ψ=  90.0°
                         isotype: θ=  60.0°  φ= 120.0°  ψ=  90.0°
                       annellide: θ=  30.0°  φ=  40.0°  ψ=  90.0°
           humpback_vocalization: θ= 160.0°  φ= 230.0°  ψ=  90.0°
                        paratype: θ=  40.0°  φ=  60.0°  ψ=  90.0°
         bracket_polypore_fungal: θ= 140.0°  φ= 300.0°  ψ=  90.0°
         wormwood_baseline_plant: θ= 160.0°  φ= 260.0°  ψ=  90.0°
                       porospore: θ=  40.0°  φ=  40.0°  ψ=  90.0°
                         neotype: θ=  60.0°  φ=   0.0°  ψ=  90.0°
                     dictyospore: θ=  60.0°  φ=  40.0°  ψ= 270.0°
                         epitype: θ=  60.0°  φ=  30.0°  ψ= 270.0°
                  muriform_spore: θ=  50.0°  φ=  40.0°  ψ=  90.0°
                reference_strain: θ=  20.0°  φ=   0.0°  ψ= 270.0°
                     staurospore: θ=  20.0°  φ= 200.0°  ψ= 270.0°
                 ex_type_culture: θ=  20.0°  φ=   0.0°  ψ=  90.0°
                     helicospore: θ=  40.0°  φ= 200.0°  ψ= 270.0°
        dried_herbarium_specimen: θ=  60.0°  φ= 120.0°  ψ= 270.0°
                    scolecospore: θ=  40.0°  φ= 150.0°  ψ= 270.0°
                  fungal_barcode: θ=   0.0°  φ=  80.0°  ψ=  90.0°
              reference_sequence: θ=   0.0°  φ=  80.0°  ψ=  90.0°
                  aleuriconidium: θ= 100.0°  φ=  40.0°  ψ= 270.0°
               genbank_accession: θ=  40.0°  φ=  80.0°  ψ= 270.0°
                     synanamorph: θ=  60.0°  φ=  40.0°  ψ= 149.4°
              open_reading_frame: θ=  60.0°  φ= 110.0°  ψ= 270.0°
                       holomorph: θ= 100.0°  φ= 120.0°  ψ=  90.0°
          pleomorphic_life_cycle: θ=  60.0°  φ=  80.0°  ψ=  90.0°
                          intron: θ=  40.0°  φ= 160.0°  ψ= 270.0°
                   heterothallic: θ=  80.0°  φ= 150.0°  ψ= 270.0°
                     homothallic: θ=  40.0°  φ= 140.0°  ψ=  90.0°
                            exon: θ=  60.0°  φ=  40.0°  ψ=  90.0°
                    self_sterile: θ=  40.0°  φ=  40.0°  ψ= 270.0°
                 promoter_region: θ=  40.0°  φ= 110.0°  ψ=  90.0°
                    self_fertile: θ=   0.0°  φ= 180.0°  ψ=  90.0°
             terminator_sequence: θ=  40.0°  φ= 100.0°  ψ=  90.0°
              compatibility_type: θ=  80.0°  φ=  80.0°  ψ=  90.0°
               mating_type_locus: θ=  60.0°  φ= 110.0°  ψ=  90.0°
              regulatory_element: θ= 100.0°  φ=  80.0°  ψ=  90.0°
            transcription_factor: θ=  40.0°  φ= 110.0°  ψ=  90.0°
                       pheromone: θ=  20.0°  φ= 110.0°  ψ=  90.0°
            chromatin_remodeling: θ=  20.0°  φ= 190.0°  ψ=  90.0°
                        receptor: θ=  40.0°  φ= 110.0°  ψ=  90.0°
            histone_modification: θ=  40.0°  φ= 150.0°  ψ=  90.0°
                    sexual_morph: θ=   0.0°  φ= 110.0°  ψ=  90.0°
                 dna_methylation: θ=  40.0°  φ= 110.0°  ψ= 270.0°
                     epigenetics: θ=   0.0°  φ= 120.0°  ψ=  90.0°
                   asexual_morph: θ=  40.0°  φ=  40.0°  ψ=  90.0°
                       small_rna: θ=  40.0°  φ= 140.0°  ψ=  90.0°
                  culture_medium: θ=  20.0°  φ=  80.0°  ψ= 270.0°
             long_non_coding_rna: θ=  80.0°  φ= 110.0°  ψ= 270.0°
                            agar: θ=  20.0°  φ=  80.0°  ψ= 270.0°
                   ribosomal_rna: θ=  80.0°  φ= 220.0°  ψ= 270.0°
               malt_extract_agar: θ=  80.0°  φ=   0.0°  ψ= 270.0°
                    transfer_rna: θ=  20.0°  φ= 110.0°  ψ= 270.0°
            potato_dextrose_agar: θ=  80.0°  φ=   0.0°  ψ= 270.0°
                     spliceosome: θ=  60.0°  φ= 190.0°  ψ=  90.0°
         sabouraud_dextrose_agar: θ=  80.0°  φ=   0.0°  ψ= 270.0°
                        ribosome: θ=  60.0°  φ= 150.0°  ψ=  90.0°
                     inoculation: θ=  40.0°  φ= 150.0°  ψ=  90.0°
           endoplasmic_reticulum: θ=  20.0°  φ=  30.0°  ψ=  90.0°
        wormwood_star_revelation: θ= 140.0°  φ= 300.0°  ψ=  90.0°
                 golgi_apparatus: θ=  80.0°  φ= 150.0°  ψ= 270.0°
                      incubation: θ=  60.0°  φ=   0.0°  ψ= 270.0°
                   mitochondrion: θ=   0.0°  φ= 230.0°  ψ=  90.0°
                       isolation: θ=  40.0°  φ=  80.0°  ψ= 270.0°
                      peroxisome: θ=  40.0°  φ=  80.0°  ψ=  90.0°
                    purification: θ=  60.0°  φ=  80.0°  ψ=  90.0°
                   lipid_droplet: θ= 120.0°  φ=  30.0°  ψ= 270.0°
                      subculture: θ= 100.0°  φ=  80.0°  ψ=  90.0°
                   autophagosome: θ=  60.0°  φ=  70.0°  ψ= 270.0°
               colony_morphology: θ=  90.0°  φ= 200.0°  ψ=  90.0°
                   spitzenkörper: θ=  70.0°  φ=  70.0°  ψ=  90.0°
            mycelial_growth_rate: θ=  20.0°  φ= 120.0°  ψ=  90.0°
                    woronin_body: θ=  70.0°  φ= 130.0°  ψ=  90.0°
                vacuolar_network: θ=  50.0°  φ= 140.0°  ψ=  90.0°
                    pigmentation: θ=  20.0°  φ=  80.0°  ψ=  90.0°
                         exudate: θ=  60.0°  φ=  30.0°  ψ= 270.0°
                       tonoplast: θ=  60.0°  φ=   0.0°  ψ=  90.0°
                 plasma_membrane: θ= 120.0°  φ=  70.0°  ψ=  90.0°
                            odor: θ=  20.0°  φ=  80.0°  ψ=  90.0°
          cell_wall_biosynthesis: θ=  60.0°  φ= 150.0°  ψ= 270.0°
              diffusible_pigment: θ=  20.0°  φ=  40.0°  ψ=  90.0°
            beta_glucan_synthase: θ=  60.0°  φ= 150.0°  ψ=  90.0°
                   reverse_color: θ=  20.0°  φ=  40.0°  ψ= 270.0°
                 chitin_synthase: θ=  30.0°  φ= 150.0°  ψ= 270.0°
              fruiting_induction: θ=   0.0°  φ= 110.0°  ψ=  90.0°
             hydrophobin_coating: θ=  60.0°  φ= 110.0°  ψ=  90.0°
               light_stimulation: θ=  20.0°  φ=  80.0°  ψ=  90.0°
     cell_surface_hydrophobicity: θ= 100.0°  φ=  80.0°  ψ=  90.0°
                    phototropism: θ=  80.0°  φ=  30.0°  ψ= 270.0°
                    gravitropism: θ=  20.0°  φ= 110.0°  ψ= 270.0°
                         adhesin: θ=  40.0°  φ= 110.0°  ψ=  90.0°
                   thigmotropism: θ=  20.0°  φ= 230.0°  ψ= 270.0°
           integrin_like_protein: θ= 120.0°  φ=  70.0°  ψ=  90.0°
                    chemotropism: θ=  80.0°  φ=  70.0°  ψ=  90.0°
                           porin: θ=  90.0°  φ=  80.0°  ψ=  90.0°
                    hydrotropism: θ=  20.0°  φ=  30.0°  ψ=  90.0°
                       osmotaxis: θ=  80.0°  φ=  30.0°  ψ=  90.0°
                     transporter: θ=  20.0°  φ=  30.0°  ψ=  90.0°
                 abc_transporter: θ=   0.0°  φ= 230.0°  ψ=  90.0°
               nematode_trapping: θ=  80.0°  φ= 200.0°  ψ=  90.0°
                predatory_fungus: θ=  80.0°  φ= 150.0°  ψ=  90.0°
   major_facilitator_superfamily: θ=   0.0°  φ=  80.0°  ψ= 270.0°
