abandon	⊢⊢⊢⊢◻∋∋∈∈⊣⊥⊤  
𐑼𐑶𐑽𐑹𐑑𐑤𐑲𐑝𐑮𐑖𐑳𐑷          494	                   differ               
𐑦𐑶𐑾𐑗𐑑𐑤𐑚𐑨𐑢𐑫𐑙𐑷          495	                   digital               
𐑛𐑸𐑾𐑿𐑑𐑤𐑔𐑨𐑻𐑓𐑳𐑷          496	                   dignity               
𐑨𐑸𐑾𐑬𐑑𐑤𐑲𐑨⊙𐑒𐑙𐑷          497	                   dilemma               
𐑼𐑸𐑽𐑯𐑑𐑤𐑚𐑣𐑣𐑖𐑳𐑷          498	                   dinner               
𐑦𐑸𐑩𐑹𐑑𐑤𐑔𐑣𐑮𐑫𐑕𐑷          499	                   dinosaur               
𐑛𐑡𐑽𐑗𐑑𐑤𐑲𐑣𐑢𐑓𐑳𐑷          500	                   direct               
𐑨𐑡𐑩𐑿𐑑𐑤𐑚𐑵𐑻𐑒𐑕𐑷          501	                   dirt               
𐑼𐑡𐑩𐑬𐑑𐑤𐑔𐑵⊙𐑖𐑕𐑷          502	                   disagree               
𐑦𐑡𐑩𐑯𐑑𐑤𐑲𐑵𐑣𐑫𐑙𐑷          503	                   discover               
𐑛𐑰𐑾𐑹𐑑𐑤𐑚𐑝𐑮𐑓𐑕𐑷          504	                   disease               
𐑨𐑰𐑩𐑗𐑑𐑤𐑔𐑝𐑢𐑒𐑕𐑷          505	                   dish               
𐑼𐑰𐑾𐑿𐑑𐑤𐑲𐑝𐑻𐑖𐑳𐑷          506	                   dismiss               
𐑦𐑰𐑩𐑬𐑑𐑤𐑚𐑨⊙𐑫𐑙𐑷          507	                   disorder               
𐑛𐑥𐑾𐑯𐑑𐑤𐑔𐑨𐑣𐑓𐑳𐑷          508	                   display               
𐑨𐑥𐑩𐑹𐑑𐑤𐑲𐑨𐑮𐑒𐑙𐑷          509	                   distance               
𐑼𐑥𐑽𐑗𐑑𐑤𐑚𐑣𐑢𐑖𐑳𐑷          510	                   divert               
𐑦𐑥𐑽𐑿𐑑𐑤𐑔𐑣𐑻𐑫𐑙𐑷          511	                   divide               
𐑛𐑶𐑾𐑬𐑑𐑤𐑲𐑣⊙𐑓𐑙𐑴          512	                   divorce               
𐑨𐑶𐑭𐑯𐑑𐑤𐑚𐑵𐑣𐑒𐑕𐑴          513	                   dizzy               
𐑼𐑶𐑽𐑹𐑑𐑤𐑔𐑵𐑮𐑖𐑳𐑴          514	                   doctor               
𐑦𐑶𐑩𐑗𐑑𐑤𐑲𐑵𐑢𐑫𐑙𐑴          515	                   document               
𐑛𐑸𐑾𐑿𐑑𐑤𐑚𐑝𐑻𐑓𐑕𐑴          516	                   dog               
𐑨𐑸𐑩𐑬𐑑𐑤𐑔𐑝⊙𐑒𐑕𐑴          517	                   doll               
𐑼𐑸𐑾𐑯𐑑𐑤𐑲𐑝𐑣𐑖𐑳𐑴          518	                   dolphin               
𐑦𐑸𐑽𐑹𐑑𐑤𐑚𐑨𐑮𐑫𐑙𐑴          519	                   domain               
𐑛𐑡𐑽𐑗𐑑𐑤𐑔𐑨𐑢𐑓𐑙𐑴          520	                   donate               
𐑨𐑡𐑽𐑿𐑑𐑤𐑲𐑨𐑻𐑒𐑳𐑴          521	                   donkey               
𐑼𐑡𐑭𐑬𐑑𐑤𐑚𐑣⊙𐑖𐑳𐑴          522	                   donor               
𐑦𐑡𐑩𐑯𐑑𐑤𐑔𐑣𐑣𐑫𐑳𐑴          523	                   door               
𐑛𐑰𐑩𐑹𐑑𐑤𐑲𐑣𐑮𐑓𐑳𐑴          524	                   dose               
𐑨𐑰𐑽𐑗𐑑𐑤𐑚𐑵𐑢𐑒𐑙𐑴          525	                   double               
𐑼𐑰𐑩𐑿𐑑𐑤𐑔𐑵𐑻𐑖𐑳𐑴          526	                   dove               
𐑦𐑰𐑭𐑬𐑑𐑤𐑲𐑵⊙𐑫𐑕𐑴          527	                   draft               
𐑛𐑥𐑽𐑯𐑑𐑤𐑚𐑝𐑣𐑓𐑳𐑴          528	                   dragon               
𐑨𐑥𐑭𐑹𐑑𐑤𐑔𐑝𐑮𐑒𐑳𐑴          529	                   drama               
𐑼𐑥𐑾𐑗𐑑𐑤𐑲𐑝𐑢𐑖𐑳𐑴          530	                   drastic               
𐑦𐑥𐑩𐑿𐑑𐑤𐑚𐑨𐑻𐑫𐑕𐑴          531	                   draw               
𐑛𐑶𐑭𐑬𐑑𐑤𐑔𐑨⊙𐑓𐑳𐑴          532	                   dream               
𐑨𐑶𐑭𐑯𐑑𐑤𐑲𐑨𐑣𐑒𐑕𐑴          533	                   dress               
𐑼𐑶𐑭𐑹𐑑𐑤𐑚𐑣𐑮𐑖𐑕𐑴          534	                   drift               
𐑦𐑶𐑭𐑗𐑑𐑤𐑔𐑣𐑢𐑫𐑕𐑴          535	                   drill               
𐑛𐑸𐑭𐑿𐑑𐑤𐑲𐑣𐑻𐑓𐑕𐑴          536	                   drink               
𐑨𐑸𐑩𐑬𐑑𐑤𐑚𐑵⊙𐑒𐑕𐑴          537	                   drip               
𐑼𐑸𐑭𐑯𐑑𐑤𐑔𐑵𐑣𐑖𐑳𐑴          538	                   drive               
𐑦𐑸𐑩𐑹𐑑𐑤𐑲𐑵𐑮𐑫𐑕𐑴          539	                   drop               
𐑛𐑡𐑩𐑗𐑑𐑤𐑚𐑝𐑢𐑓𐑕𐑴          540	                   drum               
𐑨𐑡𐑾𐑿𐑑𐑤𐑔𐑝𐑻𐑒𐑙𐑴          541	                   dry               
𐑼𐑡𐑩𐑬𐑑𐑤𐑲𐑝⊙𐑖𐑕𐑴          542	                   duck               
𐑦𐑡𐑩𐑯𐑑𐑤𐑚𐑨𐑣𐑫𐑕𐑴          543	                   dumb               
𐑛𐑰𐑩𐑹𐑑𐑤𐑔𐑨𐑮𐑓𐑳𐑴          544	                   dune               
𐑨𐑰𐑽𐑗𐑑𐑤𐑲𐑨𐑢𐑒𐑳𐑴          545	                   during               
𐑼𐑰𐑩𐑿𐑑𐑤𐑚𐑣𐑻𐑖𐑕𐑴          546	                   dust               
𐑦𐑰𐑭𐑬𐑑𐑤𐑔𐑣⊙𐑫𐑕𐑴          547	                   dutch               
𐑛𐑥𐑩𐑯𐑑𐑤𐑲𐑣𐑣𐑓𐑕𐑴          548	                   duty               
𐑨𐑥𐑭𐑹𐑑𐑤𐑚𐑵𐑮𐑒𐑕𐑴          549	                   dwarf               
𐑼𐑥𐑾𐑗𐑑𐑤𐑔𐑵𐑢𐑖𐑳𐑴          550	                   dynamic               
𐑦𐑥𐑭𐑿𐑑𐑤𐑲𐑵𐑻𐑫𐑙𐑴          551	                   eager               
𐑛𐑶𐑭𐑬𐑑𐑤𐑚𐑝⊙𐑓𐑙𐑴          552	                   eagle               
𐑨𐑶𐑭𐑯𐑑𐑤𐑔𐑝𐑣𐑒𐑳𐑴          553	                   early               
𐑼𐑶𐑩𐑹𐑑𐑤𐑲𐑝𐑮𐑖𐑳𐑴          554	                   earn               
𐑦𐑶𐑭𐑗𐑑𐑤𐑚𐑨𐑢𐑫𐑳𐑴          555	                   earth               
𐑛𐑸𐑽𐑿𐑑𐑤𐑔𐑨𐑻𐑓𐑙𐑴          556	                   easily               
𐑨𐑸𐑩𐑬𐑑𐑤𐑲𐑨⊙𐑒𐑳𐑴          557	                   east               
𐑼𐑸𐑩𐑯𐑑𐑤𐑚𐑣𐑣𐑖𐑳𐑴          558	                   easy               
𐑦𐑸𐑩𐑹𐑑𐑤𐑔𐑣𐑮𐑫𐑳𐑴          559	                   echo               
𐑛𐑡𐑾𐑗𐑑𐑧𐑲𐑣𐑢𐑓𐑙𐑴          560	                   ecology               
𐑨𐑡𐑾𐑿𐑑𐑧𐑚𐑵𐑻𐑒𐑙𐑴          561	                   economy               
𐑼𐑡𐑩𐑬𐑑𐑧𐑔𐑵⊙𐑖𐑳𐑴          562	                   edge               
𐑦𐑡𐑩𐑯𐑑𐑧𐑲𐑵𐑣𐑫𐑳𐑴          563	                   edit               
𐑛𐑰𐑾𐑹𐑑𐑧𐑚𐑝𐑮𐑓𐑕𐑴          564	                   educate               
𐑨𐑰𐑽𐑗𐑑𐑧𐑔𐑝𐑢𐑒𐑳𐑴          565	                   effort               
𐑼𐑰𐑾𐑿𐑑𐑧𐑲𐑝𐑻𐑖𐑕𐑴          566	                   egg               
𐑦𐑰𐑭𐑬𐑑𐑧𐑚𐑨⊙𐑫𐑳𐑴          567	                   eight               
𐑛𐑥𐑽𐑯𐑑𐑧𐑔𐑨𐑣𐑓𐑙𐑴          568	                   either               
𐑨𐑥𐑭𐑹𐑑𐑧𐑲𐑨𐑮𐑒𐑳𐑴          569	                   elbow               
𐑼𐑥𐑭𐑗𐑑𐑧𐑚𐑣𐑢𐑖𐑳𐑴          570	                   elder               
𐑦𐑥𐑩𐑿𐑑𐑧𐑔𐑣𐑻𐑫𐑙𐑴          571	                   electric               
𐑛𐑶𐑾𐑬𐑑𐑧𐑲𐑣⊙𐑓𐑙𐑴          572	                   elegant               
𐑨𐑶𐑾𐑯𐑑𐑧𐑚𐑵𐑣𐑒𐑙𐑴          573	                   element               
𐑼𐑶𐑩𐑹𐑑𐑧𐑔𐑵𐑮𐑖𐑙𐑴          574	                   elephant               
𐑦𐑶𐑩𐑗𐑑𐑧𐑲𐑵𐑢𐑫𐑕𐑴          575	                   elevator               
𐑛𐑸𐑭𐑿𐑑𐑧𐑚𐑝𐑻𐑓𐑙𐑴          576	                   elite               
𐑨𐑸𐑩𐑬𐑑𐑧𐑔𐑝⊙𐑒𐑳𐑴          577	                   else               
𐑼𐑸𐑽𐑯𐑑𐑧𐑲𐑝𐑣𐑖𐑳𐑴          578	                   embark               
𐑦𐑸𐑽𐑹𐑑𐑧𐑚𐑨𐑮𐑫𐑳𐑴          579	                   embody               
𐑛𐑡𐑾𐑗𐑑𐑧𐑔𐑨𐑢𐑓𐑙𐑴          580	                   embrace               
𐑨𐑡𐑽𐑿𐑑𐑧𐑲𐑨𐑻𐑒𐑙𐑴          581	                   emerge               
𐑼𐑡𐑾𐑬𐑑𐑧𐑚𐑣⊙𐑖𐑕𐑴          582	                   emotion               
𐑦𐑡𐑽𐑯𐑑𐑧𐑔𐑣𐑣𐑫𐑳𐑴          583	                   employ               
𐑛𐑰𐑾𐑹𐑑𐑧𐑲𐑣𐑮𐑓𐑙𐑴          584	                   empower               
𐑨𐑰𐑭𐑗𐑑𐑧𐑚𐑵𐑢𐑒𐑕𐑴          585	                   empty               
𐑼𐑰𐑽𐑿𐑑𐑧𐑔𐑵𐑻𐑖𐑙𐑴          586	                   enable               
𐑦𐑰𐑭𐑬𐑑𐑧𐑲𐑵⊙𐑫𐑳𐑴          587	                   enact               
𐑛𐑥𐑾𐑯𐑑𐑧𐑚𐑝𐑣𐑓𐑕𐑴          588	                   end               
𐑨𐑥𐑾𐑹𐑑𐑧𐑔𐑝𐑮𐑒𐑳𐑴          589	                   endless               
𐑼𐑥𐑾𐑗𐑑𐑧𐑲𐑝𐑢𐑖𐑙𐑴          590	                   endorse               
𐑦𐑥𐑭𐑿𐑑𐑧𐑚𐑨𐑻𐑫𐑳𐑴          591	                   enemy               
𐑛𐑶𐑽𐑬𐑑𐑧𐑔𐑨⊙𐑓𐑳𐑴          592	                   energy               
𐑨𐑶𐑾𐑯𐑑𐑧𐑲𐑨𐑣𐑒𐑙𐑴          593	                   enforce               
𐑼𐑶𐑽𐑹𐑑𐑧𐑚𐑣𐑮𐑖𐑙𐑴          594	                   engage               
𐑦𐑶𐑽𐑗𐑑𐑧𐑔𐑣𐑢𐑫𐑙𐑴          595	                   engine               
𐑛𐑸𐑾𐑿𐑑𐑧𐑲𐑣𐑻𐑓𐑙𐑴          596	                   enhance               
𐑨𐑸𐑭𐑬𐑑𐑧𐑚𐑵⊙𐑒𐑳𐑴          597	                   enjoy               
𐑼𐑸𐑽𐑯𐑑𐑧𐑔𐑵𐑣𐑖𐑳𐑴          598	                   enlist               
𐑦𐑸𐑽𐑹𐑑𐑧𐑲𐑵𐑮𐑫𐑙𐑴          599	                   enough               
𐑛𐑡𐑽𐑗𐑑𐑧𐑚𐑝𐑢𐑓𐑳𐑴          600	                   enrich               
𐑨𐑡𐑽𐑿𐑑𐑧𐑔𐑝𐑻𐑒𐑳𐑴          601	                   enroll               
𐑼𐑡𐑽𐑬𐑑𐑧𐑲𐑝⊙𐑖𐑙𐑴          602	                   ensure               
𐑦𐑡𐑭𐑯𐑑𐑧𐑚𐑨𐑣𐑫𐑳𐑴          603	                   enter               
𐑛𐑰𐑽𐑹𐑑𐑧𐑔𐑨𐑮𐑓𐑙𐑴          604	                   entire               
𐑨𐑰𐑭𐑗𐑑𐑧𐑲𐑨𐑢𐑒𐑕𐑴          605	                   entry               
𐑼𐑰𐑩𐑿𐑑𐑧𐑚𐑣𐑻𐑖𐑕𐑴          606	                   envelope               
𐑦𐑰𐑾𐑬𐑑𐑧𐑔𐑣⊙𐑫𐑕𐑴          607	                   episode               
𐑛𐑥𐑭𐑯𐑑𐑧𐑲𐑣𐑣𐑓𐑙𐑴          608	                   equal               
𐑨𐑥𐑭𐑹𐑑𐑧𐑚𐑵𐑮𐑒𐑙𐑴          609	                   equip               
𐑼𐑥𐑾𐑗𐑑𐑧𐑔𐑵𐑢𐑖𐑳𐑴          610	                   era               
𐑦𐑥𐑭𐑿𐑑𐑧𐑲𐑵𐑻𐑫𐑙𐑴          611	                   erase               
𐑛𐑶𐑭𐑬𐑑𐑧𐑚𐑝⊙𐑓𐑙𐑴          612	                   erode               
𐑨𐑶𐑾𐑯𐑑𐑧𐑔𐑝𐑣𐑒𐑕𐑴          613	                   erosion               
𐑼𐑶𐑭𐑹𐑑𐑧𐑲𐑝𐑮𐑖𐑳𐑴          614	                   error               
𐑦𐑶𐑭𐑗𐑑𐑧𐑚𐑨𐑢𐑫𐑳𐑴          615	                   erupt               
𐑛𐑸𐑽𐑿𐑑𐑧𐑔𐑨𐑻𐑓𐑙𐑴          616	                   escape               
𐑨𐑸𐑭𐑬𐑑𐑧𐑲𐑨⊙𐑒𐑳𐑴          617	                   essay               
𐑼𐑸𐑾𐑯𐑑𐑧𐑚𐑣𐑣𐑖𐑙𐑴          618	                   essence               
𐑦𐑸𐑽𐑹𐑑𐑧𐑔𐑣𐑮𐑫𐑙𐑴          619	                   estate               
𐑛𐑡𐑾𐑗𐑑𐑧𐑲𐑣𐑢𐑓𐑙𐑴          620	                   eternal               
𐑨𐑡𐑽𐑿𐑑𐑧𐑚𐑵𐑻𐑒𐑳𐑴          621	                   ethics               
𐑼𐑡𐑩𐑬𐑑𐑧𐑔𐑵⊙𐑖𐑕𐑴          622	                   evidence               
𐑦𐑡𐑩𐑯𐑑𐑧𐑲𐑵𐑣𐑫𐑳𐑴          623	                   evil               
𐑛𐑰𐑭𐑹𐑑𐑧𐑚𐑝𐑮𐑓𐑙𐑴          624	                   evoke               
𐑨𐑰𐑽𐑗𐑑𐑧𐑔𐑝𐑢𐑒𐑙𐑴          625	                   evolve               
𐑼𐑰𐑭𐑿𐑑𐑧𐑲𐑝𐑻𐑖𐑳𐑴          626	                   exact               
𐑦𐑰𐑾𐑬𐑑𐑧𐑚𐑨⊙𐑫𐑙𐑴          627	                   example               
𐑛𐑥𐑽𐑯𐑑𐑧𐑔𐑨𐑣𐑓𐑳𐑴          628	                   excess               
𐑨𐑥𐑩𐑹𐑑𐑧𐑲𐑨𐑮𐑒𐑙𐑴          629	                   exchange               
𐑼𐑥𐑽𐑗𐑑𐑧𐑚𐑣𐑢𐑖𐑙𐑴          630	                   excite               
𐑦𐑥𐑾𐑿𐑑𐑧𐑔𐑣𐑻𐑫𐑙𐑴          631	                   exclude               
𐑛𐑶𐑽𐑬𐑑𐑧𐑲𐑣⊙𐑓𐑙𐑴          632	                   excuse               
𐑨𐑶𐑾𐑯𐑑𐑧𐑚𐑵𐑣𐑒𐑕𐑴          633	                   execute               
𐑼𐑶𐑩𐑹𐑑𐑧𐑔𐑵𐑮𐑖𐑕𐑴          634	                   exercise               
𐑦𐑶𐑾𐑗𐑑𐑧𐑲𐑵𐑢𐑫𐑙𐑴          635	                   exhaust               
𐑛𐑸𐑾𐑿𐑑𐑧𐑚𐑝𐑻𐑓𐑙𐑴          636	                   exhibit               
𐑨𐑸𐑭𐑬𐑑𐑧𐑔𐑝⊙𐑒𐑙𐑴          637	                   exile               
𐑼𐑸𐑭𐑯𐑑𐑧𐑲𐑝𐑣𐑖𐑳𐑴          638	                   exist               
𐑦𐑸𐑩𐑹𐑑𐑧𐑚𐑨𐑮𐑫𐑳𐑴          639	                   exit               
𐑛𐑡𐑽𐑗𐑑𐑪𐑔𐑨𐑢𐑓𐑙𐑴          640	                   exotic               
𐑨𐑡𐑽𐑿𐑑𐑪𐑲𐑨𐑻𐑒𐑳𐑴          641	                   expand               
𐑼𐑡𐑽𐑬𐑑𐑪𐑚𐑣⊙𐑖𐑳𐑴          642	                   expect               
𐑦𐑡𐑽𐑯𐑑𐑪𐑔𐑣𐑣𐑫𐑙𐑴          643	                   expire               
𐑛𐑰𐑾𐑹𐑑𐑪𐑲𐑣𐑮𐑓𐑙𐑴          644	                   explain               
𐑨𐑰𐑽𐑗𐑑𐑪𐑚𐑵𐑢𐑒𐑙𐑴          645	                   expose               
𐑼𐑰𐑾𐑿𐑑𐑪𐑔𐑵𐑻𐑖𐑳𐑴          646	                   express               
𐑦𐑰𐑽𐑬𐑑𐑪𐑲𐑵⊙𐑫𐑳𐑴          647	                   extend               
𐑛𐑥𐑭𐑯𐑑𐑪𐑚𐑝𐑣𐑓𐑳𐑴          648	                   extra               
𐑨𐑥𐑾𐑹𐑑𐑪𐑔𐑝𐑮𐑒𐑳𐑴          649	                   eye               
𐑼𐑥𐑾𐑗𐑑𐑪𐑲𐑝𐑢𐑖𐑙𐑴          650	                   eyebrow               
𐑦𐑥𐑽𐑿𐑑𐑪𐑚𐑨𐑻𐑫𐑳𐑴          651	                   fabric               
𐑛𐑶𐑩𐑬𐑑𐑪𐑔𐑨⊙𐑓𐑳𐑴          652	                   face               
𐑨𐑶𐑾𐑯𐑑𐑪𐑲𐑨𐑣𐑒𐑳𐑴          653	                   faculty               
𐑼𐑶𐑩𐑹𐑑𐑪𐑚𐑣𐑮𐑖𐑳𐑴          654	                   fade               
𐑦𐑶𐑭𐑗𐑑𐑪𐑔𐑣𐑢𐑫𐑳𐑴          655	                   faint               
𐑛𐑸𐑭𐑿𐑑𐑪𐑲𐑣𐑻𐑓𐑳𐑴          656	                   faith               
𐑨𐑸𐑩𐑬𐑑𐑪𐑚𐑵⊙𐑒𐑕𐑴          657	                   fall               
𐑼𐑸𐑭𐑯𐑑𐑪𐑔𐑵𐑣𐑖𐑳𐑴          658	                   false               
𐑦𐑸𐑩𐑹𐑑𐑪𐑲𐑵𐑮𐑫𐑳𐑴          659	                   fame               
𐑛𐑡𐑽𐑗𐑑𐑪𐑚𐑝𐑢𐑓𐑳𐑴          660	                   family               
𐑨𐑡𐑽𐑿𐑑𐑪𐑔𐑝𐑻𐑒𐑙𐑴          661	                   famous               
𐑼𐑡𐑾𐑬𐑑𐑪𐑲𐑝⊙𐑖𐑕𐑴          662	                   fan               
𐑦𐑡𐑭𐑯𐑑𐑪𐑚𐑨𐑣𐑫𐑕𐑴          663	                   fancy               
𐑛𐑰𐑾𐑹𐑑𐑪𐑔𐑨𐑮𐑓𐑳𐑴          664	                   fantasy               
𐑨𐑰𐑩𐑗𐑑𐑪𐑲𐑨𐑢𐑒𐑕𐑴          665	                   farm               
𐑼𐑰𐑾𐑿𐑑𐑪𐑚𐑣𐑻𐑖𐑙𐑴          666	                   fashion               
𐑦𐑰𐑾𐑬𐑑𐑪𐑔𐑣⊙𐑫𐑕𐑴          667	                   fat               
𐑛𐑥𐑭𐑯𐑑𐑪𐑲𐑣𐑣𐑓𐑳𐑴          668	                   fatal               
𐑨𐑥𐑽𐑹𐑑𐑪𐑚𐑵𐑮𐑒𐑳𐑴          669	                   father               
𐑼𐑥𐑾𐑗𐑑𐑪𐑔𐑵𐑢𐑖𐑕𐑴          670	                   fatigue               
𐑦𐑥𐑭𐑿𐑑𐑪𐑲𐑵𐑻𐑫𐑳𐑴          671	                   fault               
𐑛𐑶𐑩𐑬𐑑𐑪𐑚𐑝⊙𐑓𐑕𐑴          672	                   favorite               
𐑨𐑶𐑾𐑯𐑑𐑪𐑔𐑝𐑣𐑒𐑕𐑴          673	                   feature               
𐑼𐑶𐑩𐑹𐑑𐑪𐑲𐑝𐑮𐑖𐑙𐑴          674	                   february               
𐑦𐑶𐑾𐑗𐑑𐑪𐑚𐑨𐑢𐑫𐑙𐑴          675	                   federal               
𐑛𐑸𐑾𐑿𐑑𐑪𐑔𐑨𐑻𐑓𐑳𐑴          676	                   fee               
𐑨𐑸𐑩𐑬𐑑𐑪𐑲𐑨⊙𐑒𐑳𐑴          677	                   feed               
𐑼𐑸𐑩𐑯𐑑𐑪𐑚𐑣𐑣𐑖𐑳𐑴          678	                   feel               
𐑦𐑸𐑽𐑹𐑑𐑪𐑔𐑣𐑮𐑫𐑙𐑴          679	                   female               
𐑛𐑡𐑭𐑗𐑑𐑪𐑲𐑣𐑢𐑓𐑳𐑴          680	                   fence               
𐑨𐑡𐑩𐑿𐑑𐑪𐑚𐑵𐑻𐑒𐑙𐑴          681	                   festival               
𐑼𐑡𐑭𐑬𐑑𐑪𐑔𐑵⊙𐑖𐑕𐑴          682	                   fetch               
𐑦𐑡𐑭𐑯𐑑𐑪𐑲𐑵𐑣𐑫𐑳𐑴          683	                   fever               
𐑛𐑰𐑾𐑹𐑑𐑪𐑚𐑝𐑮𐑓𐑕𐑴          684	                   few               
𐑨𐑰𐑭𐑗𐑑𐑪𐑔𐑝𐑢𐑒𐑳𐑴          685	                   fiber               
𐑼𐑰𐑾𐑿𐑑𐑪𐑲𐑝𐑻𐑖𐑙𐑴          686	                   fiction               
𐑦𐑰𐑭𐑬𐑑𐑪𐑚𐑨⊙𐑫𐑳𐑴          687	                   field               
𐑛𐑥𐑽𐑯𐑑𐑪𐑔𐑨𐑣𐑓𐑙𐑴          688	                   figure               
𐑨𐑥𐑩𐑹𐑑𐑪𐑲𐑨𐑮𐑒𐑳𐑴          689	                   file               
𐑼𐑥𐑩𐑗𐑑𐑪𐑚𐑣𐑢𐑖𐑕𐑴          690	                   film               
𐑦𐑥𐑽𐑿𐑑𐑪𐑔𐑣𐑻𐑫𐑳𐑴          691	                   filter               
𐑛𐑶𐑭𐑬𐑑𐑪𐑲𐑣⊙𐑓𐑳𐑴          692	                   final               
𐑨𐑶𐑩𐑯𐑑𐑪𐑚𐑵𐑣𐑒𐑕𐑴          693	                   find               
𐑼𐑶𐑩𐑹𐑑𐑪𐑔𐑵𐑮𐑖𐑳𐑴          694	                   fine               
𐑦𐑶𐑽𐑗𐑑𐑪𐑲𐑵𐑢𐑫𐑳𐑴          695	                   finger               
𐑛𐑸𐑽𐑿𐑑𐑪𐑚𐑝𐑻𐑓𐑳𐑴          696	                   finish               
𐑨𐑸𐑩𐑬𐑑𐑪𐑔𐑝⊙𐑒𐑳𐑴          697	                   fire               
𐑼𐑸𐑩𐑯𐑑𐑪𐑲𐑝𐑣𐑖𐑕𐑴          698	                   firm               
𐑦𐑸𐑭𐑹𐑑𐑪𐑚𐑨𐑮𐑫𐑕𐑴          699	                   first               
𐑛𐑡𐑽𐑗𐑑𐑪𐑔𐑨𐑢𐑓𐑳𐑴          700	                   fiscal               
𐑨𐑡𐑩𐑿𐑑𐑪𐑲𐑨𐑻𐑒𐑕𐑴          701	                   fish               
𐑼𐑡𐑾𐑬𐑑𐑪𐑚𐑣⊙𐑖𐑕𐑴          702	                   fit               
𐑦𐑡𐑾𐑯𐑑𐑪𐑔𐑣𐑣𐑫𐑳𐑴          703	                   fitness               
𐑛𐑰𐑾𐑹𐑑𐑪𐑲𐑣𐑮𐑓𐑕𐑴          704	                   fix               
𐑨𐑰𐑩𐑗𐑑𐑪𐑚𐑵𐑢𐑒𐑕𐑴          705	                   flag               
𐑼𐑰𐑭𐑿𐑑𐑪𐑔𐑵𐑻𐑖𐑳𐑴          706	                   flame               
𐑦𐑰𐑭𐑬𐑑𐑪𐑲𐑵⊙𐑫𐑕𐑴          707	                   flash               
𐑛𐑥𐑩𐑯𐑑𐑪𐑚𐑝𐑣𐑓𐑕𐑴          708	                   flat               
𐑨𐑥𐑽𐑹𐑑𐑪𐑔𐑝𐑮𐑒𐑳𐑴          709	                   flavor               
𐑼𐑥𐑩𐑗𐑑𐑪𐑲𐑝𐑢𐑖𐑳𐑴          710	                   flee               
𐑦𐑥𐑽𐑿𐑑𐑪𐑚𐑨𐑻𐑫𐑕𐑴          711	                   flight               
𐑛𐑶𐑩𐑬𐑑𐑪𐑔𐑨⊙𐑓𐑕𐑴          712	                   flip               
𐑨𐑶𐑭𐑯𐑑𐑪𐑲𐑨𐑣𐑒𐑳𐑴          713	                   float               
𐑼𐑶𐑭𐑹𐑑𐑪𐑚𐑣𐑮𐑖𐑕𐑴          714	                   flock               
𐑦𐑶𐑭𐑗𐑑𐑪𐑔𐑣𐑢𐑫𐑳𐑴          715	                   floor               
𐑛𐑸𐑽𐑿𐑑𐑪𐑲𐑣𐑻𐑓𐑳𐑴          716	                   flower               
𐑨𐑸𐑭𐑬𐑑𐑪𐑚𐑵⊙𐑒𐑳𐑴          717	                   fluid               
𐑼𐑸𐑭𐑯𐑑𐑪𐑔𐑵𐑣𐑖𐑕𐑴          718	                   flush               
𐑦𐑸𐑾𐑹𐑑𐑪𐑲𐑵𐑮𐑫𐑙𐑴          719	                   fly               
𐑛𐑡𐑩𐑗𐑑𐑺𐑚𐑝𐑢𐑓𐑳𐑴          720	                   foam               
𐑨𐑡𐑭𐑿𐑑𐑺𐑔𐑝𐑻𐑒𐑳𐑴          721	                   focus               
𐑼𐑡𐑾𐑬𐑑𐑺𐑲𐑝⊙𐑖𐑕𐑴          722	                   fog               
𐑦𐑡𐑩𐑯𐑑𐑺𐑚𐑨𐑣𐑫𐑳𐑴          723	                   foil               
𐑛𐑰𐑩𐑹𐑑𐑺𐑔𐑨𐑮𐑓𐑕𐑴          724	                   fold               
𐑨𐑰𐑽𐑗𐑑𐑺𐑲𐑨𐑢𐑒𐑳𐑴          725	                   follow               
𐑼𐑰𐑩𐑿𐑑𐑺𐑚𐑣𐑻𐑖𐑳𐑴          726	                   food               
𐑦𐑰𐑩𐑬𐑑𐑺𐑔𐑣⊙𐑫𐑳𐑴          727	                   foot               
𐑛𐑥𐑭𐑯𐑑𐑺𐑲𐑣𐑣𐑓𐑳𐑴          728	                   force               
𐑨𐑥𐑽𐑹𐑑𐑺𐑚𐑵𐑮𐑒𐑳𐑴          729	                   forest               
𐑼𐑥𐑽𐑗𐑑𐑺𐑔𐑵𐑢𐑖𐑳𐑴          730	                   forget               
𐑦𐑥𐑩𐑿𐑑𐑺𐑲𐑵𐑻𐑫𐑕𐑴          731	                   fork               
𐑛𐑶𐑾𐑬𐑑𐑺𐑚𐑝⊙𐑓𐑙𐑴          732	                   fortune               
𐑨𐑶𐑭𐑯𐑑𐑺𐑔𐑝𐑣𐑒𐑳𐑴          733	                   forum               
𐑼𐑶𐑾𐑹𐑑𐑺𐑲𐑝𐑮𐑖𐑳𐑴          734	                   forward               
𐑦𐑶𐑽𐑗𐑑𐑺𐑚𐑨𐑢𐑫𐑳𐑴          735	                   fossil               
𐑛𐑸𐑽𐑿𐑑𐑺𐑔𐑨𐑻𐑓𐑳𐑴          736	                   foster               
𐑨𐑸𐑭𐑬𐑑𐑺𐑲𐑨⊙𐑒𐑳𐑴          737	                   found               
